Provinsi,Tahun,PDRB_per_kapita_Rupiah,satuan
SUMATERA BARAT,2019,44885510.0,RIBU RUPIAH
RIAU,2019,111227010.0,RIBU RUPIAH
JAMBI,2019,60828860.0,RIBU RUPIAH
SUMATERA SELATAN,2019,53359100.0,RIBU RUPIAH
BENGKULU,2019,36565290.0,RIBU RUPIAH
LAMPUNG,2019,42172320.0,RIBU RUPIAH
KEPULAUAN BANGKA BELITUNG,2019,52232800.0,RIBU RUPIAH
KEPULAUAN RIAU,2019,119394660.0,RIBU RUPIAH
DKI JAKARTA,2019,268052250.0,RIBU RUPIAH
JAWA BARAT,2019,43309190.0,RIBU RUPIAH
JAWA TENGAH,2019,39388150.0,RIBU RUPIAH
DI YOGYAKARTA,2019,36459730.0,RIBU RUPIAH
JAWA TIMUR,2019,59015170.0,RIBU RUPIAH
BANTEN,2019,52013990.0,RIBU RUPIAH
BALI,2019,57755960.0,RIBU RUPIAH
NUSA TENGGARA BARAT,2019,25716110.0,RIBU RUPIAH
NUSA TENGGARA TIMUR,2019,19630020.0,RIBU RUPIAH
KALIMANTAN BARAT,2019,42045410.0,RIBU RUPIAH
KALIMANTAN TENGAH,2019,56625380.0,RIBU RUPIAH
KALIMANTAN SELATAN,2019,42823560.0,RIBU RUPIAH
KALIMANTAN TIMUR,2019,180259100.0,RIBU RUPIAH
KALIMANTAN UTARA,2019,138751010.0,RIBU RUPIAH
SULAWESI UTARA,2019,52173020.0,RIBU RUPIAH
SULAWESI TENGAH,2019,61056030.0,RIBU RUPIAH
SULAWESI SELATAN,2019,57182140.0,RIBU RUPIAH
SULAWESI TENGGARA,2019,48514150.0,RIBU RUPIAH
GORONTALO,2019,34976650.0,RIBU RUPIAH
SULAWESI BARAT,2019,34111830.0,RIBU RUPIAH
MALUKU,2019,26097040.0,RIBU RUPIAH
MALUKU UTARA,2019,32124960.0,RIBU RUPIAH
PAPUA BARAT,2019,87542370.0,RIBU RUPIAH
PAPUA,2019,56618950.0,RIBU RUPIAH
ACEH,2020,31633380.0,RIBU RUPIAH
SUMATERA UTARA,2020,54979040.0,RIBU RUPIAH
SUMATERA BARAT,2020,43825660.0,RIBU RUPIAH
RIAU,2020,114166900.0,RIBU RUPIAH
JAMBI,2020,57957730.0,RIBU RUPIAH
SUMATERA SELATAN,2020,53842740.0,RIBU RUPIAH
BENGKULU,2020,36552500.0,RIBU RUPIAH
LAMPUNG,2020,39290330.0,RIBU RUPIAH
KEPULAUAN BANGKA BELITUNG,2020,52023400.0,RIBU RUPIAH
KEPULAUAN RIAU,2020,123464790.0,RIBU RUPIAH
DKI JAKARTA,2020,262615169.99999997,RIBU RUPIAH
JAWA BARAT,2020,43236510.0,RIBU RUPIAH
JAWA TENGAH,2020,36964780.0,RIBU RUPIAH
DI YOGYAKARTA,2020,37693640.0,RIBU RUPIAH
JAWA TIMUR,2020,56640820.0,RIBU RUPIAH
BANTEN,2020,52729400.0,RIBU RUPIAH
BALI,2020,52015450.0,RIBU RUPIAH
NUSA TENGGARA BARAT,2020,25183560.0,RIBU RUPIAH
NUSA TENGGARA TIMUR,2020,20056990.0,RIBU RUPIAH
KALIMANTAN BARAT,2020,39622240.0,RIBU RUPIAH
KALIMANTAN TENGAH,2020,57145080.0,RIBU RUPIAH
KALIMANTAN SELATAN,2020,44100790.0,RIBU RUPIAH
KALIMANTAN TIMUR,2020,161798850.0,RIBU RUPIAH
KALIMANTAN UTARA,2020,143533290.0,RIBU RUPIAH
SULAWESI UTARA,2020,50521130.0,RIBU RUPIAH
SULAWESI TENGAH,2020,66306270.00000001,RIBU RUPIAH
SULAWESI SELATAN,2020,55675030.0,RIBU RUPIAH
SULAWESI TENGGARA,2020,49718150.0,RIBU RUPIAH
GORONTALO,2020,35693260.0,RIBU RUPIAH
SULAWESI BARAT,2020,32836750.0,RIBU RUPIAH
MALUKU,2020,25094360.0,RIBU RUPIAH
MALUKU UTARA,2020,33069320.0,RIBU RUPIAH
PAPUA BARAT,2020,73932600.0,RIBU RUPIAH
PAPUA,2020,46416360.0,RIBU RUPIAH
ACEH,2021,34673560.0,RIBU RUPIAH
SUMATERA UTARA,2021,57441930.0,RIBU RUPIAH
SUMATERA BARAT,2021,45218160.0,RIBU RUPIAH
RIAU,2021,129740710.0,RIBU RUPIAH
JAMBI,2021,64770930.0,RIBU RUPIAH
SUMATERA SELATAN,2021,57744670.0,RIBU RUPIAH
BENGKULU,2021,39167130.0,RIBU RUPIAH
LAMPUNG,2021,40806710.0,RIBU RUPIAH
KEPULAUAN BANGKA BELITUNG,2021,58406070.0,RIBU RUPIAH
KEPULAUAN RIAU,2021,131883840.0,RIBU RUPIAH
DKI JAKARTA,2021,274659620.0,RIBU RUPIAH
JAWA BARAT,2021,45234180.0,RIBU RUPIAH
JAWA TENGAH,2021,38568080.0,RIBU RUPIAH
DI YOGYAKARTA,2021,40516000.0,RIBU RUPIAH
JAWA TIMUR,2021,59988440.0,RIBU RUPIAH
BANTEN,2021,55383290.0,RIBU RUPIAH
BALI,2021,50758320.0,RIBU RUPIAH
NUSA TENGGARA BARAT,2021,26009170.0,RIBU RUPIAH
NUSA TENGGARA TIMUR,2021,20554990.0,RIBU RUPIAH
KALIMANTAN BARAT,2021,42252660.0,RIBU RUPIAH
KALIMANTAN TENGAH,2021,62833770.0,RIBU RUPIAH
KALIMANTAN SELATAN,2021,48065950.0,RIBU RUPIAH
KALIMANTAN TIMUR,2021,183157520.0,RIBU RUPIAH
KALIMANTAN UTARA,2021,157091680.0,RIBU RUPIAH
SULAWESI UTARA,2021,54034120.0,RIBU RUPIAH
SULAWESI TENGAH,2021,82016810.0,RIBU RUPIAH
SULAWESI SELATAN,2021,59502640.0,RIBU RUPIAH
SULAWESI TENGGARA,2021,52436020.0,RIBU RUPIAH
GORONTALO,2021,37086760.0,RIBU RUPIAH
SULAWESI BARAT,2021,35195140.0,RIBU RUPIAH
MALUKU,2021,26153050.0,RIBU RUPIAH
MALUKU UTARA,2021,40381060.0,RIBU RUPIAH
PAPUA BARAT,2021,74021650.0,RIBU RUPIAH
PAPUA,2021,54050610.0,RIBU RUPIAH
ACEH,2022,38767080.0,RIBU RUPIAH
SUMATERA UTARA,2022,62922260.0,RIBU RUPIAH
SUMATERA BARAT,2022,50263830.0,RIBU RUPIAH
RIAU,2022,151258970.0,RIBU RUPIAH
JAMBI,2022,76224160.0,RIBU RUPIAH
SUMATERA SELATAN,2022,68238870.0,RIBU RUPIAH
BENGKULU,2022,43756980.0,RIBU RUPIAH
LAMPUNG,2022,44982400.0,RIBU RUPIAH
KEPULAUAN BANGKA BELITUNG,2022,63865510.0,RIBU RUPIAH
KEPULAUAN RIAU,2022,145530480.0,RIBU RUPIAH
DKI JAKARTA,2022,299674730.0,RIBU RUPIAH
JAWA BARAT,2022,49136900.0,RIBU RUPIAH
JAWA TENGAH,2022,41934460.0,RIBU RUPIAH
DI YOGYAKARTA,2022,44638790.0,RIBU RUPIAH
JAWA TIMUR,2022,66248490.00000001,RIBU RUPIAH
BANTEN,2022,61413540.0,RIBU RUPIAH
BALI,2022,56092960.0,RIBU RUPIAH
NUSA TENGGARA BARAT,2022,28670720.0,RIBU RUPIAH
NUSA TENGGARA TIMUR,2022,21657610.0,RIBU RUPIAH
KALIMANTAN BARAT,2022,46092060.0,RIBU RUPIAH
KALIMANTAN TENGAH,2022,72973140.0,RIBU RUPIAH
KALIMANTAN SELATAN,2022,60213030.0,RIBU RUPIAH
KALIMANTAN TIMUR,2022,238916990.0,RIBU RUPIAH
KALIMANTAN UTARA,2022,192588320.0,RIBU RUPIAH
