Provinsi,Tahun,Jumlah_Fasilitas,Infra_Sampahmasuk_ton
SULAWESI SELATAN,2020,1,255784.71
SULAWESI SELATAN,2021,20,730684.38
SULAWESI SELATAN,2022,23,743595.08
SULAWESI SELATAN,2023,26,900057.88
SULAWESI SELATAN,2024,22,741579.88
SULAWESI TENGAH,2021,5,81712.55
SULAWESI TENGAH,2022,10,147822.34
SULAWESI TENGAH,2023,10,148219.41
SULAWESI TENGAH,2024,8,91290.15
SULAWESI TENGGARA,2021,2,79902.15
SULAWESI TENGGARA,2022,7,135163.15
SULAWESI TENGGARA,2023,14,174035.66
SULAWESI TENGGARA,2024,6,119594.99
SULAWESI UTARA,2019,1,7829.25
SULAWESI UTARA,2021,6,123096.25
SULAWESI UTARA,2022,15,271123.83
SULAWESI UTARA,2023,15,292582.91
SULAWESI UTARA,2024,14,282732.28
SUMATERA BARAT,2021,8,108348.7
SUMATERA BARAT,2022,19,430315.96
SUMATERA BARAT,2023,18,417949.33
SUMATERA BARAT,2024,15,362366.5
SUMATERA SELATAN,2021,15,471899.1
SUMATERA SELATAN,2022,20,570751.8999999999
SUMATERA SELATAN,2023,23,226469.72999999998
SUMATERA SELATAN,2024,20,254721.51
SUMATERA UTARA,2019,2,10220.0
SUMATERA UTARA,2020,4,161804.5
SUMATERA UTARA,2021,20,731743.97
SUMATERA UTARA,2022,20,944176.5
SUMATERA UTARA,2023,21,921410.91
SUMATERA UTARA,2024,18,640036.97
