Provinsi,Tahun,Timbulan_Tahunan_ton,Timbulan_Harian_ton,PDRB_per_kapita_Rupiah,Jumlah_Fasilitas,Infra_Sampahmasuk_ton,Jumlah_Penduduk,Realisasi_APBD
KALIMANTAN BARAT,2024,680742.86,1865.03,52702700.0,18.0,239667.39,5695500.0,0.0
KALIMANTAN SELATAN,2019,594528.74,1628.82,42823560.0,,,,
KALIMANTAN SELATAN,2020,463110.54,1268.79,44100790.0,1.0,20038.5,,
KALIMANTAN SELATAN,2021,782592.39,2144.09,48065950.0,13.0,371560.52,4073600.0,0.0
KALIMANTAN SELATAN,2022,776827.15,2128.29,60213030.0,16.0,457994.28,,0.0
KALIMANTAN SELATAN,2023,738831.22,2024.19,63754330.0,17.0,470151.76,,0.0
KALIMANTAN SELATAN,2024,739730.97,2026.6599999999999,67117250.0,18.0,462319.43,4273400.0,0.0
KALIMANTAN TENGAH,2019,320317.42,877.5899999999999,56625380.0,2.0,2847.0,,
KALIMANTAN TENGAH,2020,353012.83999999997,967.16,57145080.0,3.0,42718.25,,
KALIMANTAN TENGAH,2021,260338.52000000002,713.26,62833770.0,7.0,75442.58,2670000.0,0.0
KALIMANTAN TENGAH,2022,358359.0,981.8199999999999,72973140.0,10.0,104491.65,,0.0
KALIMANTAN TENGAH,2023,482168.88,1321.02,75271230.0,16.0,154712.26,,0.0
KALIMANTAN TENGAH,2024,442991.06,1213.65,79319740.0,14.0,139344.83000000002,2809700.0,0.0
KALIMANTAN TIMUR,2019,720985.78,1975.3100000000002,180259100.0,,,,
KALIMANTAN TIMUR,2020,596948.7999999999,1635.47,161798850.0,,,,
KALIMANTAN TIMUR,2021,666303.38,1825.49,183157520.0,15.0,492667.38,3766000.0,0.0
KALIMANTAN TIMUR,2022,791828.97,2169.39,238916990.0,18.0,531734.73,,0.0
KALIMANTAN TIMUR,2023,809331.65,2217.33,215761420.0,18.0,542661.3300000001,,0.0
KALIMANTAN TIMUR,2024,626452.5499999999,1716.29,212175200.0,14.0,380364.44,4045900.0,0.0
KALIMANTAN UTARA,2019,72429.19,198.44,138751010.0,,,,
KALIMANTAN UTARA,2020,80718.83,221.14,143533290.0,,,,
KALIMANTAN UTARA,2021,20093.14,55.050000000000004,157091680.0,2.0,9002.58,701800.0,0.0
KALIMANTAN UTARA,2022,44338.49,121.48,192588320.0,3.0,21818.46,,0.0
KALIMANTAN UTARA,2023,63812.26,174.82,201748780.0,4.0,38483.03,,0.0
KALIMANTAN UTARA,2024,51661.46,141.54,198429100.0,4.0,43361.31,739800.0,0.0
KEPULAUAN BANGKA BELITUNG,2019,112959.03,309.48,52232800.0,,,,
KEPULAUAN BANGKA BELITUNG,2020,204915.05,561.4100000000001,52023400.0,1.0,6948.87,,
KEPULAUAN BANGKA BELITUNG,2021,191441.88,524.5,58406070.0,3.0,24564.13,,0.0
KEPULAUAN BANGKA BELITUNG,2022,154292.07,422.72,63865510.0,6.0,70369.08,,0.0
KEPULAUAN BANGKA BELITUNG,2023,188310.07,515.92,67813240.0,7.0,86655.54999999999,,0.0
KEPULAUAN BANGKA BELITUNG,2024,158602.19,434.53000000000003,70194390.0,7.0,99444.77,,0.0
KEPULAUAN RIAU,2019,628416.44,1721.69,119394660.0,,,,
